2020_01_08_16_41_10_1114349181 : -----------------------------------------
2020_01_08_16_41_10_1114349181 : https://finance.forumactif.com
2020_01_08_16_41_10_1114349181 : https://ichimokuscanner.000webhostapp.com
2020_01_08_16_41_10_1114349181 : Email: investdatasystems@yahoo.com
2020_01_08_16_41_10_1114349181 : -----------------------------------------
2020_01_08_16_41_10_1114349181 : Starting IchimokuUltimateScannerEA2020 5.3
2020_01_08_16_41_11_1114350195 : Running mode : Run Only Once.
2020_01_08_16_41_11_1114350288 : EURUSD : PREV japanese candlestick HAS CROSSED OVER kumo in M1 --- ASK/BUY = 1.11194 --- BID/SELL = 1.11192 --- KIJUN = 1.11221500
2020_01_08_16_41_11_1114350491 : EURUSD : PREV japanese candlestick HAS CROSSED UNDER kumo in M3 --- ASK/BUY = 1.11194 --- BID/SELL = 1.11192 --- KIJUN = 1.11200000
2020_01_08_16_41_11_1114350585 : EURUSD : PREV japanese candlestick IS UNDER kumo in M4 --- ASK/BUY = 1.11194 --- BID/SELL = 1.11192 --- KIJUN = 1.11189000
2020_01_08_16_41_11_1114350585 : EURUSD : CURR japanese candlestick IS UNDER kumo in M4 --- ASK/BUY = 1.11194 --- BID/SELL = 1.11192 --- KIJUN = 1.11189000
2020_01_08_16_41_11_1114350694 : EURUSD : PREV japanese candlestick IS UNDER kumo in M5 --- ASK/BUY = 1.11194 --- BID/SELL = 1.11192 --- KIJUN = 1.11189000
2020_01_08_16_41_11_1114350694 : EURUSD : CURR japanese candlestick IS UNDER kumo in M5 --- ASK/BUY = 1.11194 --- BID/SELL = 1.11192 --- KIJUN = 1.11189000
2020_01_08_16_41_11_1114350787 : EURUSD : PREV japanese candlestick IS UNDER kumo in M6 --- ASK/BUY = 1.11194 --- BID/SELL = 1.11192 --- KIJUN = 1.11207000
2020_01_08_16_41_11_1114350787 : EURUSD : CURR japanese candlestick IS UNDER kumo in M6 --- ASK/BUY = 1.11194 --- BID/SELL = 1.11192 --- KIJUN = 1.11207000
2020_01_08_16_41_12_1114350881 : EURUSD : PREV japanese candlestick IS UNDER kumo in M10 --- ASK/BUY = 1.11193 --- BID/SELL = 1.11192 --- KIJUN = 1.11219000
2020_01_08_16_41_12_1114350881 : EURUSD : CURR japanese candlestick IS UNDER kumo in M10 --- ASK/BUY = 1.11193 --- BID/SELL = 1.11192 --- KIJUN = 1.11219000
2020_01_08_16_41_12_1114350990 : EURUSD : PREV japanese candlestick IS UNDER kumo in M12 --- ASK/BUY = 1.11193 --- BID/SELL = 1.11192 --- KIJUN = 1.11279000
2020_01_08_16_41_12_1114350990 : EURUSD : CURR japanese candlestick IS UNDER kumo in M12 --- ASK/BUY = 1.11193 --- BID/SELL = 1.11192 --- KIJUN = 1.11279000
2020_01_08_16_41_12_1114351084 : EURUSD : PREV japanese candlestick IS UNDER kumo in M15 --- ASK/BUY = 1.11196 --- BID/SELL = 1.11194 --- KIJUN = 1.11279000
2020_01_08_16_41_12_1114351084 : EURUSD : CURR japanese candlestick IS UNDER kumo in M15 --- ASK/BUY = 1.11196 --- BID/SELL = 1.11194 --- KIJUN = 1.11279000
2020_01_08_16_41_12_1114351193 : EURUSD : PREV japanese candlestick IS UNDER kumo in M30 --- ASK/BUY = 1.11196 --- BID/SELL = 1.11194 --- KIJUN = 1.11361500
2020_01_08_16_41_12_1114351193 : EURUSD : CURR japanese candlestick IS UNDER kumo in M30 --- ASK/BUY = 1.11196 --- BID/SELL = 1.11194 --- KIJUN = 1.11361500
2020_01_08_16_41_12_1114351287 : EURUSD : PREV japanese candlestick IS UNDER kumo in H1 --- ASK/BUY = 1.11196 --- BID/SELL = 1.11195 --- KIJUN = 1.11444500
2020_01_08_16_41_12_1114351287 : EURUSD : CURR japanese candlestick IS UNDER kumo in H1 --- ASK/BUY = 1.11196 --- BID/SELL = 1.11195 --- KIJUN = 1.11444500
2020_01_08_16_41_12_1114351380 : EURUSD : PREV japanese candlestick IS UNDER kumo in H2 --- ASK/BUY = 1.11196 --- BID/SELL = 1.11195 --- KIJUN = 1.11576000
2020_01_08_16_41_12_1114351380 : EURUSD : CURR japanese candlestick IS UNDER kumo in H2 --- ASK/BUY = 1.11196 --- BID/SELL = 1.11195 --- KIJUN = 1.11576000
2020_01_08_16_41_12_1114351489 : EURUSD : PREV japanese candlestick IS UNDER kumo in H3 --- ASK/BUY = 1.11196 --- BID/SELL = 1.11195 --- KIJUN = 1.11582000
2020_01_08_16_41_12_1114351489 : EURUSD : CURR japanese candlestick IS UNDER kumo in H3 --- ASK/BUY = 1.11196 --- BID/SELL = 1.11195 --- KIJUN = 1.11582000
2020_01_08_16_41_12_1114351583 : EURUSD : PREV japanese candlestick IS UNDER kumo in H4 --- ASK/BUY = 1.11196 --- BID/SELL = 1.11194 --- KIJUN = 1.11582000
2020_01_08_16_41_12_1114351583 : EURUSD : CURR japanese candlestick IS UNDER kumo in H4 --- ASK/BUY = 1.11196 --- BID/SELL = 1.11194 --- KIJUN = 1.11582000
2020_01_08_16_41_12_1114351692 : EURUSD : PREV japanese candlestick IS OVER kumo in H6 --- ASK/BUY = 1.11196 --- BID/SELL = 1.11194 --- KIJUN = 1.11750500
2020_01_08_16_41_12_1114351692 : EURUSD : CURR japanese candlestick HAS CROSSED UNDER kumo in H6 --- ASK/BUY = 1.11196 --- BID/SELL = 1.11194 --- KIJUN = 1.11750500
2020_01_08_16_41_12_1114351786 : EURUSD : PREV japanese candlestick IS OVER kumo in H8 --- ASK/BUY = 1.11196 --- BID/SELL = 1.11194 --- KIJUN = 1.11606000
